Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"دبي, الإمارات العربية المتحدة",01/01/2020,26.9,16,21.7,,26.4,0,0,0,16.6,221.83,,8.7,12.5,60.34,Clear
"دبي, الإمارات العربية المتحدة",01/02/2020,26.9,18.9,22.5,,27.6,0,0,0,16.5,206.91,,9.8,20.1,61.82,Clear
"دبي, الإمارات العربية المتحدة",01/03/2020,28.9,19.8,23.8,,28.3,0,0,0,16.4,147.29,,9.7,6.7,56.32,Clear
"دبي, الإمارات العربية المتحدة",01/04/2020,30,19.8,24.1,,28.3,0,0,0,22.2,181,,10,0,47.11,Clear
"دبي, الإمارات العربية المتحدة",01/05/2020,29,20.9,24.1,,28.2,0,0,0,27.9,235.13,,8.5,13.8,53.48,Clear
"دبي, الإمارات العربية المتحدة",01/06/2020,23.9,20.9,22.1,,,0.4,0,0,27.6,305.5,,10,41.7,58.11,"Rain, Partially cloudy"
"دبي, الإمارات العربية المتحدة",01/07/2020,24,14.9,20.3,,,0,0,0,23.9,125.87,27.7,10,6.4,52.59,Clear
"دبي, الإمارات العربية المتحدة",01/08/2020,27,15.9,21.4,,26.3,0,0,0,23.8,105.88,,10,3.6,47.42,Clear
"دبي, الإمارات العربية المتحدة",01/09/2020,26.9,18.8,22,,26.4,0.2,0,0,18.5,185.63,,9.9,20.9,48.95,Rain
"دبي, الإمارات العربية المتحدة",01/10/2020,21.9,18,20,,,15,0,0,33.5,143.92,,9,34.7,78.51,"Rain, Partially cloudy"
"دبي, الإمارات العربية المتحدة",01/11/2020,23.9,17,20.7,,,54.22,0,0,37.1,240.75,63,9.1,43,69.28,"Rain, Partially cloudy"
"دبي, الإمارات العربية المتحدة",01/12/2020,19.9,14,17.9,,,24.37,0,0,41.7,297.04,66.6,9.9,33.2,55.69,"Rain, Partially cloudy"
"دبي, الإمارات العربية المتحدة",01/13/2020,21.9,12.9,18.2,,,0,0,0,24.1,247.79,,9.9,47.2,55.82,Partially cloudy
"دبي, الإمارات العربية المتحدة",01/14/2020,21,15.9,18.7,,,0.6,0,0,27.3,237.17,46.4,9.8,56.7,57.9,"Rain, Partially cloudy"
"دبي, الإمارات العربية المتحدة",01/15/2020,20.9,13,17.1,,,11.77,0,0,24,124.25,38.9,9.4,34,63.19,"Rain, Partially cloudy"
"دبي, الإمارات العربية المتحدة",01/16/2020,21.9,12.9,18.2,,,0,0,0,20.3,145.79,,10,0,48.39,Clear
"دبي, الإمارات العربية المتحدة",01/17/2020,24,13.9,18.8,,,0,0,0,18.2,74.58,,10,0,49.93,Clear
"دبي, الإمارات العربية المتحدة",01/18/2020,26,13.9,19.9,,,0,0,0,16.4,143.33,,10,1.6,53.05,Clear
"دبي, الإمارات العربية المتحدة",01/19/2020,26,15.8,21,,,0,0,0,18.4,178.29,,10,4.6,52.39,Clear
"دبي, الإمارات العربية المتحدة",01/20/2020,26,16.9,21,,,0,0,0,24.1,201.29,,10,5.3,59.45,Clear
