Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Lahti, Etelä-Suomi, Suomi",01/01/2020,2.7,-2.5,0.5,-6.5,,0,0,0,18,255.42,39.6,45.1,31.4,88.52,Partially cloudy
"Lahti, Etelä-Suomi, Suomi",01/02/2020,4,1.9,2.7,-2.5,,0,0,0,18,242.5,39.6,37.6,23.5,85.51,Clear
"Lahti, Etelä-Suomi, Suomi",01/03/2020,4.7,1.5,3.9,-2.5,,1.69,0,0,28.8,242.92,61.2,29.5,50.5,87.36,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/04/2020,1.1,-0.3,0.4,-5.9,,0.45,0,0,28.8,265.42,57.6,48,31.4,75.89,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/05/2020,-0.1,-6.9,-3.3,-10.5,,0.05,0,0,36,292.5,57.6,42.1,32.4,70.79,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/06/2020,0.5,-3.2,-0.2,-9,,3.49,0,0,21.6,236.96,43.2,7,53,97.74,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/07/2020,4.2,0.8,3.1,-3.3,,0.54,0,0,14.4,219.17,36,15.8,53.3,97.04,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/08/2020,6.8,2.8,4.6,-0.8,,4.24,0,0,28.8,231.67,61.2,20.4,47.4,94.13,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/09/2020,2.7,-1.1,1.2,-4.8,,0,0,0,18,266.04,36,42.6,3,85.47,Clear
"Lahti, Etelä-Suomi, Suomi",01/10/2020,-1.3,-5.6,-3.2,-8.6,,0,0,0,10.8,292.38,18,19.3,14.6,93.84,Clear
"Lahti, Etelä-Suomi, Suomi",01/11/2020,2.3,-5.5,-2.2,-7.4,,0.67,0,0,28.8,233.32,61.2,24.6,22.7,90.02,Rain
"Lahti, Etelä-Suomi, Suomi",01/12/2020,5.2,2,3.7,-3.5,,4.65,0,0,32.4,246.25,61.2,26.7,51.6,94.57,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/13/2020,1.6,-0.7,0.2,-4,,0.07,0,0,14.4,257,32.4,42.5,41.6,92.6,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/14/2020,3.2,0.6,1.9,-3.6,,2.17,0,0,28.8,218.7,57.6,36.8,49.5,87.93,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/15/2020,7.5,2.4,5.2,-1.9,,7.3,0,0,28.8,221.67,64.8,28,49.6,89.83,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/16/2020,4.6,3.5,4.3,0.9,,0.14,0,0,14.4,240,28.8,30,49.8,87.77,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/17/2020,4.6,2.1,3.4,-1.5,,0,0,0,21.6,242.92,43.2,19.9,46,91.4,Partially cloudy
"Lahti, Etelä-Suomi, Suomi",01/18/2020,4.8,1.2,3.1,-3.1,,1.06,0,0,21.6,207.5,43.2,14.9,51.4,93.26,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/19/2020,4.7,1.1,2.6,-3.6,,0.8,0,0,18,255.83,43.2,32.7,52.2,90.61,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/20/2020,3.1,1.4,2,-3,,0,0,0,18.7,265.17,46.8,38.8,50.3,84.82,Partially cloudy
"Lahti, Etelä-Suomi, Suomi",01/21/2020,6.8,2.4,4.5,-2.9,,0,0,0,25.2,289.58,54,44.9,28.7,68.37,Partially cloudy
"Lahti, Etelä-Suomi, Suomi",01/22/2020,2.5,-1.1,0.4,-6.2,,0.14,0,0,28.8,314.17,57.6,43.7,31.7,72.92,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/23/2020,0.8,-3.3,-1.4,-8.2,,0.39,0,0,18,268.33,36,42.1,30.7,86.65,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/24/2020,2.4,-0.9,1,-4.6,,0,0,0,14.4,263.75,32.4,49.3,31.1,85.64,Partially cloudy
"Lahti, Etelä-Suomi, Suomi",01/25/2020,0.9,-3,-0.4,-6.2,,0,0,0,28.8,292.08,54,48.9,13.4,77.11,Clear
"Lahti, Etelä-Suomi, Suomi",01/26/2020,3.3,-2.9,0.3,-6.5,,1.33,0,0,18,211.67,36,27.1,49.6,91.83,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/27/2020,-2.6,-4.6,-3.6,-9.9,,1.69,0,0,18,95.83,36,18.5,52.7,91.85,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/28/2020,1.4,-2.5,0,-5.4,,4.75,0,0,14.4,153.33,25.2,5.6,43,97.21,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/29/2020,1.3,-0.3,0.3,-4.7,,0.65,0,0,18,121.25,36,12.9,49.8,96.61,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/30/2020,0.1,-0.6,-0.3,-5.5,,6.29,0,0,18,127.92,28.8,6.8,53.4,97.84,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",01/31/2020,-0.6,-1.6,-1.1,-6.3,,0.68,0,0,18,108.75,28.8,8.3,53.5,97.02,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/01/2020,1.2,-1.7,-0.4,-6.4,,7.33,0,0,25.2,155.83,43.2,5.8,52.8,97.99,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/02/2020,3.5,0.7,2.1,-2.7,,1.8,0,0,18,247.08,36,18.8,43,97.33,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/03/2020,0.6,-3.9,-1.4,-9.4,,0.06,0,0,21.6,320,50.4,48.3,40.6,82.04,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/04/2020,-3.6,-7.5,-5.7,-12.9,,0,0,0,21.6,330,36,48.6,4.2,81.79,Clear
"Lahti, Etelä-Suomi, Suomi",02/05/2020,0.5,-7.2,-2.8,-12,,0.42,0,0,21.6,270.42,39.6,38.7,48.4,87.45,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/06/2020,-0.5,-8,-5,-15.5,,0.34,0,0,36,329.17,54,47.8,6.6,75.92,Rain
"Lahti, Etelä-Suomi, Suomi",02/07/2020,-0.8,-10,-5.7,-15.3,,2.08,0,0,21.6,287.08,39.6,35.4,26.6,86.72,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/08/2020,0.7,-1.1,-0.3,-5,,0.06,0,0,18,236.25,36,5.3,41.7,98.54,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/09/2020,3.4,0.9,2.2,-3.6,,0.66,0,0,28.8,217.13,50.4,12.2,53,94.84,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/10/2020,3.8,2.2,3,-3.8,,12.84,0,0,36,191.67,68.4,11.4,53.5,94.47,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/11/2020,3.4,1.1,2.1,-3,,1.48,0,0,21.6,223.33,43.2,36.5,44.8,90.1,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/12/2020,2.5,0.7,1.5,-3,,3.91,0,0,18,199.57,32.4,25.1,49.5,93.92,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/13/2020,1.5,-0.6,0.6,-3.6,,2.03,0,0,18,232.08,28.8,20.4,50.9,95.6,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/14/2020,-0.4,-4.1,-1.5,-6.2,,0,0,0,14.4,274.58,25.2,39.7,35.3,90.8,Partially cloudy
"Lahti, Etelä-Suomi, Suomi",02/15/2020,2.3,-4.6,-0.4,-6.7,,2.07,0,0,25.2,201.25,50.4,26.2,46.1,94.95,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/16/2020,5.2,1.7,2.8,-4.2,,14.27,0,0,32.4,195.42,61.2,14.2,53.4,96.22,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/17/2020,6.1,1.8,4.3,-1.7,,9.58,0,0,32.4,238.26,61.2,25.2,51.3,88.38,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/18/2020,6.2,4.1,4.9,-1.2,,0.89,0,0,32.4,231.25,64.8,20.6,49.4,83.33,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/19/2020,4,0.8,2.9,-1.6,,0.08,0,0,18,247.92,36,33.9,50.7,83.18,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/20/2020,0.4,-3.2,-1.3,-8.2,,0,0,0,18,131.74,28.8,43.4,37.3,86.41,Partially cloudy
"Lahti, Etelä-Suomi, Suomi",02/21/2020,2.9,0,1.7,-4.9,,3.09,0,0,28.8,196.25,61.2,24.5,52.6,90.61,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/22/2020,4.1,1.3,3.2,-4.6,,15.43,0,0,32.4,210,68.4,15,52.6,92.01,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/23/2020,3.5,0.8,2.2,-3.8,,0.64,0,0,28.8,257.5,61.2,43.4,42.7,80.66,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/24/2020,2.4,-1.2,0.6,-5.9,,0.15,0,0,28.8,294.58,54,43.2,25.7,68.4,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",02/25/2020,1,-6.6,-2.9,-10.2,,0,0,0,14.4,204.35,21.6,40,1.6,72.9,Clear
"Lahti, Etelä-Suomi, Suomi",02/26/2020,-0.1,-6.9,-4,-11.7,,0,0,0,25.2,55.83,46.8,45.7,17,69.45,Clear
"Lahti, Etelä-Suomi, Suomi",02/27/2020,-0.8,-9.1,-5.1,-14.4,,0,0,0,21.6,57.08,36,48.1,0.8,69.64,Clear
"Lahti, Etelä-Suomi, Suomi",02/28/2020,-1.1,-9.9,-6.1,-15.3,,0,0,0,14.4,257.92,25.2,42.2,1.6,73.69,Clear
"Lahti, Etelä-Suomi, Suomi",02/29/2020,-0.9,-12.2,-5.8,-16.6,,0.28,0,0,14.4,215.22,21.6,42,22.4,80.65,Rain
"Lahti, Etelä-Suomi, Suomi",03/01/2020,1.6,-1.4,0.2,-4.7,,8.78,0,0,25.2,182.08,50.4,11.8,52.5,95.92,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",03/02/2020,4.7,0.1,2.5,-3.1,,2.42,0,0,21.6,206.25,39.6,16.2,47.3,94.58,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",03/03/2020,1.6,-0.6,0.5,-3.5,,0.72,0,0,14.4,63.04,28.8,11.7,38.1,97.72,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",03/04/2020,1.4,-0.1,0.5,-6.3,,8,0,0,28.8,106.82,64.8,14.6,53,96.65,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",03/05/2020,3.2,0.8,2,-3.2,,1.63,0,0,14.4,188.75,36,24.7,51.5,97.03,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",03/06/2020,2.8,-1.5,0.6,-4.6,,0.67,0,0,18,243.33,32.4,38.3,34.3,88.5,"Rain, Partially cloudy"
"Lahti, Etelä-Suomi, Suomi",03/07/2020,4.1,-4.1,-0.5,-1.9,,0,0,0,7.2,138.95,18,24.2,29,90.84,Partially cloudy
"Lahti, Etelä-Suomi, Suomi",03/08/2020,4.8,-4.9,0.1,-2.9,,0,0,0,14.4,196.52,25.2,31.1,20.6,84.79,Clear
"Lahti, Etelä-Suomi, Suomi",03/09/2020,4.5,1.5,3.3,-2.5,,0.14,0,0,21.6,201.67,39.6,32.4,51.5,84.12,"Rain, Partially cloudy"
