Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"San Fransisco, Corrientes, Argentina",01/01/2020,28.1,22.7,24.9,,30.1,0,0,0,27.7,202.92,,20,78.3,76.58,Overcast
"San Fransisco, Corrientes, Argentina",01/02/2020,30.1,20.1,25.1,,30.9,0,0,0,16.6,147.5,,20,54.2,67.58,Partially cloudy
"San Fransisco, Corrientes, Argentina",01/03/2020,30.1,18.7,24.6,,30.8,0,0,0,22.3,131.25,,20,21.3,62.97,Clear
"San Fransisco, Corrientes, Argentina",01/04/2020,32.1,19.6,25.2,,32.8,0,0,0,16.6,148.33,,18,30.8,63.32,Partially cloudy
"San Fransisco, Corrientes, Argentina",01/05/2020,33.2,20.1,26.7,,33.4,0,0,0,13,94.78,,20,6.1,61.68,Clear
"San Fransisco, Corrientes, Argentina",01/06/2020,26.1,19.2,22.8,,,6,0,0,27.7,200,,18.8,50.8,74.9,"Rain, Partially cloudy"
"San Fransisco, Corrientes, Argentina",01/07/2020,29.7,15.1,22.3,,29.2,0,0,0,18.4,191.25,,18,0,64.92,Clear
"San Fransisco, Corrientes, Argentina",01/08/2020,33.7,17.2,25.7,,32.9,0,0,0,27.7,77.08,,18.3,0.8,54.07,Clear
"San Fransisco, Corrientes, Argentina",01/09/2020,34.2,23.2,29,,40.3,0.3,0,0,24.1,121.25,,18.6,35.4,63.01,"Rain, Partially cloudy"
"San Fransisco, Corrientes, Argentina",01/10/2020,33.6,22.4,26.6,,40.9,7.2,0,0,33.5,125,,19.5,62.3,79.96,"Rain, Partially cloudy"
"San Fransisco, Corrientes, Argentina",01/11/2020,33.6,20.6,26.1,,37.9,0,0,0,13,134.21,,18,60,77.18,Partially cloudy
"San Fransisco, Corrientes, Argentina",01/12/2020,34.2,21.7,28.1,,36.4,0,0,0,16.6,97.5,,20,62.9,63.26,Partially cloudy
"San Fransisco, Corrientes, Argentina",01/13/2020,34.7,22.7,28.3,,36.8,0,0,0,38.9,97.73,,18.5,49.5,59.58,Partially cloudy
"San Fransisco, Corrientes, Argentina",01/14/2020,33.7,23.6,28.4,,39.7,9,0,0,22.3,82.92,,19.5,39.2,71.11,"Rain, Partially cloudy"
"San Fransisco, Corrientes, Argentina",01/15/2020,34.7,21.1,26.4,,41,24,0,0,35.3,175.22,,16.6,64.3,83.06,"Rain, Partially cloudy"
"San Fransisco, Corrientes, Argentina",01/16/2020,27.6,19.6,22.6,,27,0,0,0,18.4,162.92,,19.3,80,67.58,Overcast
"San Fransisco, Corrientes, Argentina",01/17/2020,27.7,14.7,21.7,,27.3,0,0,0,18.4,117.08,,20,11.3,55.73,Clear
"San Fransisco, Corrientes, Argentina",01/18/2020,31.2,17.2,24.3,,33.3,0,0,0,14.8,112.08,,20,34.6,66.83,Partially cloudy
"San Fransisco, Corrientes, Argentina",01/19/2020,34.2,23.7,27.6,,40.3,0.7,0,0,22.3,122.08,,19.6,60,76.05,"Rain, Partially cloudy"
"San Fransisco, Corrientes, Argentina",01/20/2020,27.6,22.7,25.2,,31.7,29,0,0,13,131.67,,16.2,96.2,91.42,"Rain, Overcast"
"San Fransisco, Corrientes, Argentina",01/21/2020,25.7,22.2,23.8,,,10,0,0,13,87.62,,14.5,99.5,92.71,"Rain, Overcast"
